date,id,name,diameter_min_km,diameter_max_km,is_potentially_hazardous,close_approach_date,miss_distance_km,relative_velocity_kph
2025-01-04,54513046,(2024 YG13),0.0104846751,0.0234444462,False,2025-01-04,740234.749931319,42471.3738642178
2025-01-04,54514253,(2025 AL1),0.0840533402,0.1879489824,False,2025-01-04,12979369.048088731,63542.4505270618
2025-01-04,54514896,(2025 AZ1),0.0084831076,0.0189688053,False,2025-01-04,2609350.809457923,49953.1063505555
2025-01-04,54514899,(2025 AC2),0.0228325794,0.0510551996,False,2025-01-04,3601259.905366959,22791.6311893346
2025-01-04,54516261,(2025 BS),0.0497227313,0.1111834072,False,2025-01-04,11861258.111943033,53408.6626595839
2025-01-03,3553148,(2010 XB11),0.3065878759,0.6855513317,False,2025-01-03,19016423.704274394,68182.0696604869
2025-01-03,3645041,(2013 NC15),0.0992098919,0.2218400624,False,2025-01-03,25616443.389347907,43417.7895268897
2025-01-03,3647191,(2013 RT9),0.0133215567,0.0297879063,False,2025-01-03,36530806.76349979,16233.9842106775
2025-01-03,3837864,(2019 AS11),0.0116025908,0.0259441818,False,2025-01-03,48375536.34533886,42708.3804730289
2025-01-03,3843735,(2019 QL7),0.0124324001,0.0277996916,False,2025-01-03,58599408.62498077,30891.5107520968
2025-01-03,54016994,(2020 JH1),0.0278326768,0.0622357573,False,2025-01-03,62796481.5414604,27131.2170953661
2025-01-03,54053733,(2020 RL),0.0253837029,0.0567596853,False,2025-01-03,40923341.609039135,31567.1914796913
2025-01-03,54279762,(2022 KA),0.0248058993,0.0554676771,False,2025-01-03,37624380.971163616,21615.6827309002
2025-01-03,54336914,(2022 YS5),0.0286124454,0.0639793729,False,2025-01-03,16708864.457056709,22540.3620976753
2025-01-03,54349273,(2023 EY2),0.2982325052,0.6668681546,False,2025-01-03,31394178.425610565,67596.5275364261
2025-01-03,54507938,(2024 YL1),0.0091317703,0.020419259,False,2025-01-03,2356964.228021136,17221.0757075885
2025-01-03,54508760,(2024 YE2),0.0239086457,0.0534613571,False,2025-01-03,22520907.46099667,27093.5053048378
2025-01-03,54511958,(2024 YC9),0.0107784169,0.0241012728,False,2025-01-03,1306415.340155464,31292.6445907848
2025-01-03,54513047,(2025 AB),0.0099667824,0.022286403,False,2025-01-03,153127.347506697,41616.9114929496
2025-01-03,54513657,(2025 AE),0.0189040552,0.0422707525,False,2025-01-03,6288669.776366644,60284.99467624
2025-01-03,54514029,(2025 AO),0.0047266667,0.010569148,False,2025-01-03,459327.199940949,35339.0601860675
2025-01-03,54514893,(2025 AX1),0.0113384836,0.0253536201,False,2025-01-03,1091513.33244692,52567.6423014104
2025-01-03,54515071,(2025 AN2),0.010388551,0.0232295062,False,2025-01-03,706413.349326192,30569.6769598652
2025-01-03,54515308,(2025 AC3),0.0192555078,0.0430566244,False,2025-01-03,7830455.179602987,25695.5246637204
2025-01-03,54516463,(2025 BE1),0.013506878,0.0302022973,False,2025-01-03,7947528.079099067,29662.8855099861
2025-01-03,54539579,(2025 OC17),0.0631764148,0.1412667581,False,2025-01-03,20430381.24314568,43506.815132583
2025-01-02,2459462,459462 (2013 AY52),0.2783267681,0.6223575734,False,2025-01-02,15830336.604086189,62720.0393160859
2025-01-02,3648769,(2013 TK4),0.0425162524,0.0950692305,False,2025-01-02,53240801.671820946,64471.3074111931
2025-01-02,3656933,(2014 BM25),0.0063760979,0.0142573883,False,2025-01-02,42733613.705436125,55213.8976234976
2025-01-02,3703792,(2015 BF),0.0127219879,0.0284472297,False,2025-01-02,72149352.40152915,92433.5572978271
2025-01-02,3766462,(2017 AZ13),0.1067959975,0.2388031102,False,2025-01-02,24373497.638301603,43194.109486712
2025-01-02,3837784,(2019 AR8),0.0200703514,0.0448786701,False,2025-01-02,66096247.4945897,82067.9308472164
2025-01-02,3842769,(2019 LS1),0.0848310762,0.189688053,False,2025-01-02,18639595.585777443,44753.354806865
2025-01-02,3843713,(2019 QS6),0.0160160338,0.0358129403,False,2025-01-02,40941595.586015895,18369.899581269
2025-01-02,3968754,(2019 YA5),0.0167708462,0.0375007522,False,2025-01-02,41802119.066055745,45382.1604748949
2025-01-02,54317879,(2022 UF4),0.0328514828,0.0734581487,False,2025-01-02,57230310.20651767,41585.7391615498
2025-01-02,54327895,(2022 WF2),0.0144063837,0.0322136532,False,2025-01-02,49729029.56671141,34539.9658720083
2025-01-02,54433331,(2024 GE2),0.0067694748,0.0151370059,False,2025-01-02,25623356.2022021,17530.492898011
2025-01-02,54505721,(2024 XP10),0.0324007435,0.0724502651,False,2025-01-02,7568817.944598584,30314.6632277458
2025-01-02,54507534,(2024 XB20),0.0167708462,0.0375007522,False,2025-01-02,13658066.37012045,10221.6013776193
2025-01-02,54509097,(2024 YR3),0.0216050351,0.0483103272,False,2025-01-02,9453011.883683765,13304.2848562925
2025-01-02,54511078,(2024 YF7),0.0187307418,0.0418832119,False,2025-01-02,1938313.915635721,48848.5189200517
2025-01-02,54511096,(2024 YR8),0.0319561887,0.0714562102,False,2025-01-02,8089871.903503406,58335.4717393093
2025-01-02,54512607,(2024 YR9),0.0189040552,0.0422707525,False,2025-01-02,3348567.216768578,74668.1195669771
2025-01-02,54512608,(2024 YS9),0.0072536229,0.016219594,False,2025-01-02,1582435.722210165,76377.2690659658
2025-01-02,54513049,(2025 AC),0.0041740243,0.0093334022,False,2025-01-02,140221.389663927,15404.3221587505
2025-01-02,54514672,(2025 AO1),0.0068636476,0.0153475826,False,2025-01-02,527693.187174357,29199.2676708784
2025-01-02,54514894,(2025 AA2),0.0160899605,0.0359782453,False,2025-01-02,1245828.801196944,48681.4624595309
2025-01-02,54514901,(2025 AE2),0.0308003021,0.0688715693,False,2025-01-02,7292137.013148898,35507.334587029
2025-01-01,3561029,(2011 GE3),0.0177237239,0.0396314515,False,2025-01-01,49668157.47533864,29942.4840770101
2025-01-01,54169408,(2021 NT5),0.010012787,0.0223892723,False,2025-01-01,70334863.48525196,29518.572989176
2025-01-01,54216342,(2021 VR3),0.6645917971,1.4860724357,False,2025-01-01,42029363.54131013,34930.9576821719
2025-01-01,54256791,(2022 EQ6),0.0152249185,0.0340439527,False,2025-01-01,70563038.69861434,87773.1459338218
2025-01-01,54508753,(2024 YV1),0.0151549664,0.033887535,False,2025-01-01,14250723.733843775,20875.5513182814
2025-01-01,54508761,(2024 YD2),0.0282198679,0.063101543,False,2025-01-01,9147401.985409645,31568.6426263764
2025-01-01,54509628,(2024 YY4),0.0136947774,0.0306224531,False,2025-01-01,1676103.96014581,14430.6962430265
2025-01-01,54511954,(2024 YY8),0.004770402,0.0106669431,False,2025-01-01,1290408.727100352,17129.1382745626
2025-01-01,54511956,(2024 YZ8),0.0488151892,0.1091540813,False,2025-01-01,10850468.268861296,77314.64760315
2025-01-01,54511964,(2024 YJ9),0.0069591304,0.0155610887,False,2025-01-01,1264885.131389663,51064.4715130282
2025-01-01,54513028,(2024 YV10),0.0154367182,0.0345175513,False,2025-01-01,8500461.014985574,21053.0558259305
2025-01-01,54514249,(2025 AG1),0.0033616692,0.0075169209,False,2025-01-01,671017.850013351,9522.5042591951
2025-01-01,54516067,(2025 AC4),0.0324007435,0.0724502651,False,2025-01-01,6422853.366077797,57505.6200425926
2025-01-08,2000887,887 Alinda (A918 AA),4.5978518828,10.2811093604,False,2025-01-08,12296605.087478507,29695.31606429
2025-01-08,2451003,451003 (2008 UD1),0.3361669212,0.7516920875,False,2025-01-08,26800560.600804996,50939.1008463337
2025-01-08,3485264,(2010 AL30),0.0096506147,0.0215794305,False,2025-01-08,19541496.47531868,48894.5442113194
2025-01-08,3692560,(2014 TU),0.0255008688,0.0570216761,False,2025-01-08,45581702.564580955,25312.6217193537
2025-01-08,3837605,(2019 AE3),0.0088014652,0.0196806745,False,2025-01-08,40671208.92510731,32688.5328082797
2025-01-08,3893856,(2019 XL),0.0127219879,0.0284472297,False,2025-01-08,46538177.43028861,60677.2366506572
2025-01-08,54051133,(2020 PP5),0.3986162293,0.8913329856,False,2025-01-08,73850570.01434249,126807.3069067181
2025-01-08,54104252,(2021 AL),0.0305179233,0.0682401509,False,2025-01-08,36464891.71296953,56022.7190604296
2025-01-08,54104549,(2021 AN1),0.011286388,0.0252371308,False,2025-01-08,18530659.897862356,33290.5608398167
2025-01-08,54104723,(2021 AF2),0.0231502122,0.0517654482,False,2025-01-08,23597208.156123716,30999.8238594847
2025-01-08,54225011,(2021 VH35),0.057089334,0.1276556316,False,2025-01-08,62769908.89068634,11892.8684580256
2025-01-08,54305021,(2022 SK2),0.0133215567,0.0297879063,False,2025-01-08,15260823.736267582,76500.2905172683
2025-01-08,54329646,(2022 WD7),0.0868070458,0.1941064553,False,2025-01-08,59133620.74877739,47164.066578054
2025-01-08,54419694,(2024 AP2),0.0315177333,0.0704757942,False,2025-01-08,45297049.487840034,51174.8402138888
2025-01-08,54421395,(2024 BM1),0.0165407416,0.0369862226,False,2025-01-08,4530223.722781611,32810.1217907512
2025-01-08,54512616,(2024 YA10),0.0160160338,0.0358129403,False,2025-01-08,3391681.981133206,43023.8754449226
2025-01-08,54513653,(2025 AD),0.04493192,0.1004708274,False,2025-01-08,21238989.535002843,44992.3193510778
2025-01-08,54514035,(2025 AT),0.0190789723,0.0426618789,False,2025-01-08,11856715.03406815,30292.8009785442
2025-01-08,54515742,(2025 AO3),0.018304378,0.0409298336,False,2025-01-08,17568841.441117667,23099.0745185626
2025-01-16,3656929,(2014 BG25),0.0231502122,0.0517654482,False,2025-01-16,39660831.31391615,56420.9370068609
2025-01-16,3660308,(2014 BR57),0.04411182,0.0986370281,False,2025-01-16,71736247.727064,26123.5280710143
2025-01-16,3724583,(2015 OH26),0.040230458,0.0899580388,False,2025-01-16,42681236.02047854,28022.8606829734
2025-01-16,3761738,(2016 UA41),0.0350392641,0.0783501764,False,2025-01-16,69592130.51073079,27342.5268230834
2025-01-16,54105106,(2021 AH4),0.0504144434,0.1127301225,False,2025-01-16,46375935.32391941,60526.9022908183
2025-01-16,54131319,(2021 EB3),0.0244655496,0.0547066321,False,2025-01-16,69603038.85829587,98640.3801095636
2025-01-16,54131586,(2021 EP4),0.0037372743,0.0083567994,False,2025-01-16,16378616.2383872,30915.3237299042
2025-01-16,54235407,(2022 AH),0.0763053479,0.1706239449,False,2025-01-16,52142644.787726045,82024.8717106336
2025-01-16,54235539,(2022 AH2),0.0319561887,0.0714562102,False,2025-01-16,22396849.896789435,35672.2012738911
2025-01-16,54245571,(2022 CE2),0.0925880583,0.2070331923,False,2025-01-16,4231564.171467265,47505.3542286865
2025-01-16,54248944,(2022 DX4),0.0291443905,0.0651688382,False,2025-01-16,35108631.97818706,17045.9699849093
2025-01-16,54340314,(2023 BP6),0.0451393163,0.1009345797,False,2025-01-16,58948924.25643756,68500.4863602622
2025-01-16,54465300,(2024 PD),0.0328514828,0.0734581487,False,2025-01-16,32392379.937047116,47133.8344726286
2025-01-16,54503194,(2024 XE3),0.0375452479,0.0839537266,False,2025-01-16,7813953.547196045,18219.3006139865
2025-01-16,54503849,(2024 XM5),0.086011194,0.1923268766,False,2025-01-16,19042917.09809693,45304.1430728065
2025-01-16,54516180,(2025 BF),0.0298232505,0.0666868155,False,2025-01-16,4781450.830967176,30229.3550236576
2025-01-16,54516185,(2025 BL),0.0212106988,0.0474285643,False,2025-01-16,2182713.7061498,24680.0093561063
2025-01-16,54516188,(2025 BO),0.0128989683,0.02884297,False,2025-01-16,5738329.221969366,37170.1125528343
2025-01-16,54516466,(2025 AA5),0.0268259417,0.0599846292,False,2025-01-16,16643538.44813957,14607.5818723986
2025-01-16,54516462,(2025 BD1),0.0030800302,0.0068871569,False,2025-01-16,648258.13479006,26041.056435773
2025-01-15,3370495,(2007 EA26),0.1788771952,0.3999815682,False,2025-01-15,21123091.54725817,39846.6923753916
2025-01-15,3739391,(2016 AH65),0.0183888672,0.0411187571,False,2025-01-15,36314173.81867663,49202.0769766561
2025-01-15,3767164,(2017 BO30),0.04411182,0.0986370281,False,2025-01-15,35787058.707591526,47464.8826739897
2025-01-15,54143420,(2021 JE1),0.0122618211,0.0274182656,False,2025-01-15,34353046.88609653,22231.9538847208
2025-01-15,54159405,(2021 LH6),0.0735453089,0.1644523102,False,2025-01-15,11707963.768334053,99457.2914434074
2025-01-15,54168304,(2021 NM4),0.0278326768,0.0622357573,False,2025-01-15,57815222.63419472,42374.3449251971
2025-01-15,54330917,(2022 WX10),0.0062309602,0.0139328506,False,2025-01-15,42118893.40848861,48361.7620227456
2025-01-15,54375585,(2023 OS),0.0350392641,0.0783501764,False,2025-01-15,6335217.647290115,39140.7995245846
2025-01-15,54416958,(2023 XO14),0.0039134066,0.0087506433,False,2025-01-15,73014318.50447418,54948.8031231607
2025-01-15,54509168,(2024 YJ4),0.0530340723,0.1185877909,False,2025-01-15,10836741.332867753,31668.0642018377
2025-01-15,54510164,(2024 YG6),0.0360209346,0.0805452583,False,2025-01-15,13202264.339267543,26054.4831624625
2025-01-15,54510171,(2024 YX6),0.0262153087,0.0586192124,False,2025-01-15,15848450.228341317,23803.3999111978
2025-01-15,54513661,(2025 AH),0.037201031,0.0831840342,False,2025-01-15,11873808.565407533,70671.3371368211
2025-01-15,54516179,(2025 BE),0.0443154309,0.099092316,False,2025-01-15,5010992.516153494,68564.2705510903
2025-01-15,54516189,(2025 BP),0.0086807046,0.0194106455,False,2025-01-15,430122.987995502,63446.6535191363
2025-01-15,54516190,(2025 BQ),0.0150853356,0.0337318359,False,2025-01-15,4490354.79836216,42074.7297307679
2025-01-15,54517240,(2025 BE3),0.1669379118,0.3732845187,False,2025-01-15,17785406.468507852,89969.1462446044
2025-01-14,2506491,506491 (2003 UW29),0.193443872,0.4325536477,True,2025-01-14,17371524.962223362,96974.4703454129
2025-01-14,3309857,(2005 YU128),0.0235806068,0.0527278398,False,2025-01-14,7315337.907450606,25318.1380938953
2025-01-14,3459429,(2009 JR),0.138852907,0.310484539,True,2025-01-14,20426799.92997703,35255.9647684223
2025-01-14,3690386,(2014 SD145),0.0110803882,0.0247765013,False,2025-01-14,63564543.200627446,24076.0599167771
2025-01-14,3724104,(2015 NS13),0.2682594171,0.5998462923,False,2025-01-14,12016268.208482826,41574.8093947034
2025-01-14,3843826,(2019 RP2),0.004411182,0.0098637028,False,2025-01-14,30555004.61111053,12081.3799897366
2025-01-14,3892657,(2019 VJ2),0.0160160338,0.0358129403,False,2025-01-14,72046112.14388156,88958.0701581372
2025-01-14,54145465,(2021 JO6),0.0298232505,0.0666868155,False,2025-01-14,63941052.15206875,68603.5526457074
2025-01-14,54281973,(2022 LT),0.0241298697,0.0539560289,False,2025-01-14,66926880.18325975,25384.804199822
2025-01-14,54289714,(2022 NK),0.0093444765,0.0208948847,False,2025-01-14,69697730.5999787,82489.1053841888
2025-01-14,54510154,(2024 YX5),0.0188171989,0.042076536,False,2025-01-14,4462631.336053547,38251.6219654139
